player_id,player_name,position
758,Mohamadou Kanté,MID
381,Mohamed Salah,MID
582,Mohammed Kudus,MID
241,Moisés Caicedo Corozo,MID
515,Morgan Gibbs-White,MID
47,Morgan Rogers,MID
506,Murillo Costa dos Santos,DEF
245,Mykhailo Mudryk,MID
10,Myles Lewis-Skelly,DEF
133,Myles Peart-Harris,MID
275,Naouirou Ahamada,MID
405,Nathan Aké,DEF
106,Nathan Collins,DEF
658,Nathan Fraser,FWD
296,Nathan Patterson,DEF
263,Nathaniel Clyne,DEF
607,Nayef Aguerd,DEF
564,Nazarii Rusyn,FWD
508,Neco Williams,DEF
559,Nectarios Triantis,MID
744,Nehemiah Oriola,MID
537,Niall Huggins,DEF
469,Nick Pope,GK
714,Nick Woltemade,FWD
625,Niclas Füllkrug,FWD
423,Nico González Iglesias,MID
411,Nico O'Reilly,DEF
251,Nicolas Jackson,FWD
519,Nicolás Domínguez,MID
716,Nicolò Savona,DEF
505,Nikola Milenković,DEF
813,Nilson Angulo,MID
698,Noah Okafor,MID
552,Noah Sadiki,MID
18,Noni Madueke,MID
311,Norberto Bercique Gomes Betuncal,FWD
66,Norberto Murara Neto,GK
694,Nordi Mukiele,DEF
438,Noussair Mazraoui,DEF
285,Odsonne Édouard,FWD
472,Odysseas Vlachodimos,GK
507,Ola Aina,DEF
12,Oleksandr Zinchenko,DEF
776,Oliver Pimlott,MID
197,Oliver Sonne,DEF
143,Olivier Boscagli,DEF
608,Ollie Scarles,DEF
819,Ollie Shield,DEF
64,Ollie Watkins,FWD
212,Oluwaseun Adewumi,MID
683,Omar Alderete,DEF
413,Omar Marmoush,MID
512,Omar Richards,DEF
693,Omari Hutchinson,MID
424,Oscar Bobb,MID
76,Owen Bevan,DEF
189,Owen Dodgson,DEF
785,Pablo Felipe Pereira de Jesus,FWD
593,Pape Matar Sarr,MID
132,Paris Maghoma,MID
783,Pascal Groß,MID
343,Pascal Struijk,DEF
363,Patrick Bamford,FWD
441,Patrick Dorgu,DEF
545,Patrick Roberts,MID
41,Pau Torres,DEF
640,Pedro Cardoso de Lima,DEF
236,Pedro Lomba Neto,MID
568,Pedro Porro Sauceda,DEF
147,Pervis Estupiñán Tenorio,DEF
414,Phil Foden,MID
89,Philip Billing,MID
725,Piero Hincapié,DEF
556,Pierre Ekwah Elimby,MID
192,Quilindschy Hartman,DEF
572,Radu Drăgușin,DEF
726,Randal Kolo Muani,FWD
465,Rasmus Højlund,FWD
402,Rayan Aït-Nouri,DEF
417,Rayan Cherki,MID
807,Rayan Vitor Simplício Rocha,MID
337,Raúl Jiménez Rodríguez,FWD
225,Reece James,DEF
298,Reece Welch,DEF
764,Reigan Heskey,MID
541,Reinildo Mandava,DEF
27,Reiss Nelson,MID
255,Remi Matthews,GK
687,Remy Rees-Dottin,MID
379,Rhys Williams,DEF
7,Riccardo Calafiori,DEF
597,Richarlison de Andrade,FWD
109,Rico Henry,DEF
410,Rico Lewis,DEF
690,Rio Cardines,MID
811,Rio Kyerematen,MID
686,Rio Ngumoha,MID
264,Rob Holding,DEF
220,Robert Lynch Sánchez,GK
670,Robin Roefs,GK
421,Rodrigo 'Rodri' Hernandez Cascante,MID
585,Rodrigo Bentancur,MID
635,Rodrigo Martins Gomes,DEF
338,Rodrigo Muniz Carvalho,FWD
269,Romain Esse,MID
92,Romain Faivre,MID
548,Romaine Mundle,MID
297,Roman Dixon,DEF
130,Romelle Donovan,MID
244,Roméo Lavia,MID
757,Ronnie Hollingshead,GK
55,Ross Barkley,MID
87,Ryan Christie,MID
390,Ryan Gravenberch,MID
742,Ryan McAidoo,MID
328,Ryan Sessegnon,MID
134,Ryan Trevitt,MID
522,Ryan Yates,MID
408,Rúben dos Santos Gato Alves Dias,DEF
766,Saheed Olagunju,DEF
772,Sam Alabi,MID
346,Sam Byram,DEF
787,Sam Chambers,MID
355,Sam Greenwood,MID
627,Sam Johnstone,GK
703,Sam Proctor,GK
323,Samuel Amissah,DEF
727,Samuel Chukwueze,MID
51,Samuel Iling-Junior,MID
330,Sander Berge,MID
491,Sandro Tonali,MID
636,Santiago Ignacio Bueno,DEF
656,Saša Kalajdžić,FWD
332,Saša Lukić,MID
493,Sean Longstaff,MID
501,Sean Neave,FWD
345,Sebastiaan Bornauw,DEF
733,Senne Lammens,GK
113,Sepp van den Berg,DEF
770,Seth Ridgeon,MID
689,Seung-Soo Park,MID
755,Shea Lacey,MID
196,Shurandy Sambo,DEF
543,Simon Adingra,MID
529,Simon Moore,GK
159,Solly March,MID
579,Son Heung-min,MID
718,Soungoutou Magassa,MID
393,Stefan Bajčetić Maquieira,MID
400,Stefan Ortega Moreno,GK
180,Stefanos Tzimas,FWD
740,Stephen Mfuni,DEF
315,Steven Benda,GK
475,Sven Botman,DEF
428,Sverre Nypan,MID
415,Sávio Moreira de Oliveira,MID
294,Séamus Coleman,DEF
463,Sékou Koné,MID
781,TJ Carroll,DEF
527,Taiwo Awoniyi,FWD
577,Takai Kōta,DEF
808,Tammy Abraham,FWD
358,Tanaka Ao,MID
150,Tariq Lamptey,DEF
650,Tawanda Chirewa,MID
803,Teddy Sharman-Lowe,GK
777,Temple Ojinnaka,MID
310,Thierno Barry,FWD
427,Tijjani Reijnders,MID
304,Tim Iroegbunam,MID
319,Timothy Castagne,DEF
540,Timothée Pembélé,DEF
477,Tino Livramento,DEF
460,Toby Collyer,MID
720,Tolu Arokodare,FWD
331,Tom Cairney,MID
651,Tom Edozie,MID
434,Tom Heaton,GK
630,Tom King,GK
140,Tom McGill,GK
172,Tom Watson,MID
